epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2606,0.76578,9.98588,0.48292,0.0026,0.72209,0.00225,0.00108,0.76025,15.753,0.43639,3e-05,3e-05,0.09703
2,42.2544,0.84935,11.3261,0.49406,0.00258,0.71815,0.00222,0.00108,0.76194,15.7102,0.43885,6.82675e-05,6.82675e-05,0.0930683
3,54.7741,1.67407,2.48444,1.85237,0.0001,0.02705,5e-05,1e-05,2.07824,0.22476,1.90814,0.000104555,0.000104555,0.0891046
4,67.8388,1.59656,0.72681,1.17173,0.00029,0.07969,0.00059,0.00018,1.80154,0.33835,2.36908,0.000138863,0.000138863,0.0851389
5,80.6864,1.75315,0.6573,0.98662,0.00023,0.06394,0.00029,7e-05,2.31813,0.22057,2.89935,0.00017119,0.00017119,0.0811712
6,93.6459,1.18522,1.17146,0.70019,0.00042,0.11658,0.01039,0.00186,2.2553,0.30881,2.71932,0.000201537,0.000201537,0.0772015
7,107.113,1.53052,0.65438,0.88612,0.00045,0.12494,0.00291,0.00058,1.98804,0.31834,2.40002,0.000229905,0.000229905,0.0732299
8,119.923,1.41691,0.63161,0.80583,0.00041,0.11313,0.00169,0.00021,1.89642,0.44981,1.92651,0.000256292,0.000256292,0.0692563
9,132.825,1.3036,0.8047,0.83908,0.00084,0.23266,0.00901,0.00148,1.61999,0.79673,1.40035,0.0002807,0.0002807,0.0652807
10,145.72,0.93682,1.08325,0.39475,0.00042,0.11608,0.001,0.00022,1.80238,0.64068,1.33294,0.000303127,0.000303127,0.0613031
11,158.743,1.59332,0.60109,0.67811,0.0001,0.02755,0.00021,7e-05,2.09654,0.33091,1.61026,0.000323575,0.000323575,0.0573236
12,172.314,1.2768,0.7015,0.60549,0.0003,0.0846,0.00216,0.00031,1.71188,0.3519,1.58292,0.000342042,0.000342042,0.053342
13,185.544,0.92834,0.98972,0.50282,0.00049,0.13527,0.0021,0.00036,1.65376,0.39083,1.36219,0.00035853,0.00035853,0.0493585
14,198.475,1.15531,0.76036,0.4586,0.0006,0.16576,0.0026,0.00049,1.60921,0.42439,1.22932,0.000373038,0.000373038,0.045373
15,211.448,0.95705,0.95098,0.46081,0.00188,0.52336,0.04276,0.01176,1.16431,0.82835,0.96056,0.000385565,0.000385565,0.0413856
16,224.965,0.64309,1.33439,0.29892,0.00237,0.66011,0.06047,0.02396,0.9835,1.04667,0.88713,0.000396113,0.000396113,0.0373961
17,238.141,0.47581,1.55598,0.22881,0.00247,0.68618,0.06191,0.02528,0.94895,1.07848,0.84462,0.00040468,0.00040468,0.0334047
18,251.398,0.6135,1.36242,0.23439,0.00226,0.62666,0.04984,0.01776,1.01897,1.09491,0.90222,0.000411267,0.000411267,0.0294113
19,264.431,0.59352,1.47928,0.25139,0.00562,0.62814,0.0433,0.01494,1.01543,1.21844,0.93318,0.000415875,0.000415875,0.0254159
20,277.812,0.82892,1.23096,0.32874,0.0153,0.56911,0.03773,0.01176,1.02354,1.30128,0.89972,0.000418503,0.000418503,0.0214185
21,290.964,0.75672,1.49384,0.34551,0.02426,0.47713,0.03219,0.01198,0.88874,1.3679,0.61814,0.00041915,0.00041915,0.0174191
22,304.186,0.57383,1.49169,0.29983,0.02777,0.52927,0.03805,0.01785,0.74806,1.4187,0.48049,0.000417818,0.000417818,0.0134178
23,317.45,0.70496,1.33687,0.21809,0.03262,0.55288,0.04333,0.02092,0.68588,1.41497,0.42608,0.000414505,0.000414505,0.0094145
24,330.932,0.63843,1.25754,0.21503,0.03859,0.54648,0.04689,0.02211,0.67024,1.37501,0.40051,0.000409213,0.000409213,0.00540921
25,344.482,0.63765,1.24691,0.25359,0.047,0.51795,0.04941,0.02243,0.67349,1.3274,0.38883,0.00040194,0.00040194,0.00140194
26,357.783,0.56796,1.29159,0.24815,0.05599,0.47565,0.05149,0.02387,0.66929,1.3044,0.37593,0.00038125,0.00038125,0.00038125
27,371.359,0.52097,1.29496,0.16787,0.06242,0.43286,0.05285,0.02526,0.66922,1.28124,0.37439,0.0003565,0.0003565,0.0003565
28,384.997,0.46416,1.38831,0.20053,0.06488,0.40482,0.05431,0.02716,0.64222,1.28599,0.3616,0.00033175,0.00033175,0.00033175
29,399.019,0.58812,1.24678,0.22118,0.06528,0.40236,0.05721,0.02999,0.59392,1.30949,0.34055,0.000307,0.000307,0.000307
30,412.654,0.64994,1.15633,0.28034,0.06178,0.41909,0.05496,0.0296,0.56433,1.32216,0.32947,0.00028225,0.00028225,0.00028225
31,427.211,0.32342,1.64273,0.16502,0.05797,0.43532,0.05553,0.02844,0.56676,1.30644,0.32594,0.0002575,0.0002575,0.0002575
32,440.877,0.32358,1.62149,0.16561,0.05538,0.43728,0.05572,0.02718,0.56701,1.29459,0.31348,0.00023275,0.00023275,0.00023275
33,454.688,0.39457,1.51175,0.14381,0.05308,0.43286,0.0562,0.02701,0.55321,1.30133,0.30548,0.000208,0.000208,0.000208
34,468.099,0.40012,1.52389,0.13236,0.05124,0.43089,0.05562,0.02789,0.52599,1.32347,0.28749,0.00018325,0.00018325,0.00018325
35,481.437,0.36084,1.5354,0.17895,0.04934,0.4304,0.05216,0.02735,0.50357,1.34127,0.27306,0.0001585,0.0001585,0.0001585
36,494.881,0.37814,1.51531,0.27137,0.04745,0.42007,0.05211,0.02727,0.4889,1.35348,0.26341,0.00013375,0.00013375,0.00013375
37,508.226,0.28691,1.63234,0.123,0.04571,0.41072,0.05156,0.02754,0.47874,1.36081,0.25889,0.000109,0.000109,0.000109
38,521.965,0.31118,1.62481,0.22934,0.04531,0.4063,0.05176,0.02759,0.47508,1.36302,0.25492,8.425e-05,8.425e-05,8.425e-05
39,535.296,0.29668,1.57864,0.11786,0.04645,0.40384,0.0538,0.02828,0.47196,1.36516,0.25354,5.95e-05,5.95e-05,5.95e-05
40,548.725,0.35343,1.48981,0.11801,0.04702,0.39941,0.05427,0.02867,0.4683,1.36934,0.25143,3.475e-05,3.475e-05,3.475e-05
